R2_1-m/m;R2_2-m/m;R2_3-m/m;e_1;e_2
-0.000000560;-0.000002769;-0.000002925;-0.000000177;-0.000003308
-0.000003558;-0.000002444;-0.000001948;-0.000001891;-0.000003615
-0.000000826;-0.000000715;-0.000000820;-0.000000715;-0.000000931
-0.000000778;-0.000002522;-0.000001834;0.000000020;-0.000002632
-0.000001804;-0.000002173;-0.000002527;-0.000001804;-0.000002527
-0.000003084;-0.000002416;-0.000002501;-0.000002316;-0.000003269
-0.000001674;-0.000002820;-0.000000879;0.000000317;-0.000002870
-0.000001319;-0.000002494;-0.000001336;-0.000000161;-0.000002494
-0.000001870;-0.000002550;-0.000000624;0.000000197;-0.000002691
-0.000002710;-0.000002214;-0.000002204;-0.000002106;-0.000002808
-0.000000525;-0.000002884;-0.000003059;-0.000000119;-0.000003465
-0.000002923;-0.000002638;-0.000001845;-0.000001788;-0.000002980
-0.000003528;-0.000002214;-0.000002913;-0.000002168;-0.000004273
-0.000002193;0.000000538;-0.000002545;0.000000543;-0.000005281
-0.000002504;-0.000003439;-0.000001678;-0.000000681;-0.000003501
-0.000002364;-0.000002538;-0.000000388;0.000000149;-0.000002901
0.000000849;-0.000003883;-0.000001135;0.000003726;-0.000004012
-0.000001383;-0.000002000;-0.000001038;-0.000000402;-0.000002019
-0.000000039;-0.000002018;-0.000000726;0.000001289;-0.000002054
-0.000001780;-0.000001928;-0.000000988;-0.000000711;-0.000002057
-0.000000845;-0.000001516;0.000000131;0.000000901;-0.000001615
0.000000405;-0.000001891;-0.000000571;0.000001790;-0.000001956
-0.000001352;-0.000001328;0.000001110;0.000001603;-0.000001845
-0.000002218;-0.000001157;0.000001120;0.000001227;-0.000002325
0.000000008;-0.000002954;-0.000000216;0.000002748;-0.000002956
-0.000001296;-0.000003470;-0.000001645;0.000000537;-0.000003478
-0.000001179;-0.000002939;-0.000002316;-0.000000427;-0.000003068
-0.000000809;-0.000003099;-0.000001567;0.000000760;-0.000003136
-0.000001113;-0.000000378;-0.000002853;-0.000000157;-0.000003809
-0.000000072;-0.000002165;0.000000666;0.000002786;-0.000002192
0.000001171;-0.000002849;-0.000000067;0.000004009;-0.000002905
-0.000000537;-0.000001200;-0.000000424;0.000000241;-0.000001202
-0.000001018;-0.000003743;-0.000000910;0.000001816;-0.000003744
0.000000536;-0.000003708;-0.000000514;0.000003767;-0.000003745
0.000000365;-0.000002912;-0.000000696;0.000002632;-0.000002963
0.000000210;-0.000002909;-0.000000092;0.000003031;-0.000002913
-0.000000905;-0.000002850;0.000000396;0.000002421;-0.000002930
-0.000000776;-0.000002745;-0.000001701;0.000000337;-0.000002814
-0.000000149;-0.000002461;-0.000001787;0.000000735;-0.000002671
-0.000000305;-0.000002820;-0.000000749;0.000001777;-0.000002831
-0.000000935;-0.000002070;-0.000000705;0.000000435;-0.000002075
0.000000515;-0.000001673;-0.000000556;0.000001717;-0.000001758
0.000000351;-0.000003882;0.000002366;0.000006695;-0.000003978
0.000001802;-0.000003534;-0.000000800;0.000004741;-0.000003739
0.000001870;-0.000006162;0.000000819;0.000008869;-0.000006180
0.000000601;-0.000003480;0.000000873;0.000004956;-0.000003482
0.000001458;-0.000002634;-0.000000580;0.000003677;-0.000002799
0.000000699;-0.000003737;0.000001324;0.000005770;-0.000003747
-0.000000104;-0.000003323;0.000002208;0.000005577;-0.000003473
-0.000000524;-0.000005315;0.000000140;0.000004942;-0.000005326
0.000000134;-0.000004613;0.000001577;0.000006371;-0.000004660
0.000002413;-0.000004153;0.000000630;0.000007266;-0.000004223
0.000000998;-0.000003589;-0.000001554;0.000003270;-0.000003826
0.000001304;-0.000002399;-0.000000636;0.000003234;-0.000002566
0.000000015;-0.000004299;0.000000595;0.000004918;-0.000004308
0.000000140;-0.000005425;0.000000901;0.000006478;-0.000005437
0.000003043;-0.000002970;0.000002856;0.000008870;-0.000002971
0.000003703;-0.000004183;0.000002533;0.000010442;-0.000004206
0.000004135;-0.000005687;0.000004939;0.000014769;-0.000005695
0.000004903;-0.000004363;0.000004216;0.000013489;-0.000004370
0.000004568;-0.000007267;0.000003577;0.000015423;-0.000007278
0.000003351;-0.000003674;0.000004169;0.000011205;-0.000003685
0.000004727;-0.000003526;0.000003214;0.000011505;-0.000003564
0.000005393;-0.000005009;0.000003731;0.000014169;-0.000005045
0.000003911;-0.000006084;0.000003041;0.000013046;-0.000006094
0.000004484;-0.000006213;0.000005644;0.000016356;-0.000006228
0.000003892;-0.000003746;0.000003592;0.000011232;-0.000003748
0.000005520;-0.000006247;0.000006669;0.000018449;-0.000006260
0.000007418;-0.000005221;0.000007567;0.000020206;-0.000005221
0.000008121;-0.000006641;0.000009460;0.000024237;-0.000006656
0.000010296;-0.000006142;0.000010422;0.000026860;-0.000006142
0.000011451;-0.000007623;0.000011276;0.000030350;-0.000007623
0.000010572;-0.000006867;0.000010624;0.000028063;-0.000006867
0.000012174;-0.000007759;0.000011214;0.000031153;-0.000007765
0.000009702;-0.000006494;0.000011451;0.000027669;-0.000006516
0.000010297;-0.000006861;0.000010128;0.000027286;-0.000006861
0.000010464;-0.000006289;0.000010074;0.000026828;-0.000006290
0.000008877;-0.000008697;0.000013011;0.000030693;-0.000008805
0.000010171;-0.000009234;0.000012188;0.000031618;-0.000009259
0.000011858;-0.000010421;0.000016246;0.000038623;-0.000010519
0.000015607;-0.000009747;0.000016123;0.000041478;-0.000009748
0.000020214;-0.000012175;0.000019746;0.000052136;-0.000012176
0.000022214;-0.000011415;0.000022226;0.000055855;-0.000011415
0.000025084;-0.000012127;0.000024309;0.000061522;-0.000012129
0.000023283;-0.000012524;0.000024402;0.000060213;-0.000012528
0.000023138;-0.000012692;0.000022940;0.000058770;-0.000012692
0.000022091;-0.000011695;0.000021071;0.000054861;-0.000011699
0.000023172;-0.000013383;0.000023556;0.000060112;-0.000013384
0.000021826;-0.000013083;0.000023562;0.000058482;-0.000013094
0.000020805;-0.000013624;0.000022188;0.000056624;-0.000013631
0.000024323;-0.000013072;0.000025215;0.000062613;-0.000013075
0.000031396;-0.000015345;0.000030265;0.000077009;-0.000015348
0.000033517;-0.000016003;0.000035010;0.000084536;-0.000016009
0.000038038;-0.000017641;0.000039505;0.000095189;-0.000017646
0.000038957;-0.000020633;0.000042804;0.000102424;-0.000020663
0.000041318;-0.000020827;0.000043601;0.000105756;-0.000020837
0.000041760;-0.000018972;0.000042968;0.000103703;-0.000018975
0.000041101;-0.000017420;0.000042150;0.000100673;-0.000017422
0.000039862;-0.000017884;0.000043086;0.000100854;-0.000017906
0.000040984;-0.000020243;0.000040983;0.000102210;-0.000020243
0.000040768;-0.000020897;0.000043932;0.000105617;-0.000020917
0.000042012;-0.000017545;0.000043902;0.000103466;-0.000017552
0.000042098;-0.000020085;0.000045968;0.000108180;-0.000020114
0.000047576;-0.000022230;0.000047236;0.000117042;-0.000022230
0.000050116;-0.000023040;0.000052808;0.000125976;-0.000023052
0.000054519;-0.000023087;0.000054572;0.000132178;-0.000023087
0.000059759;-0.000025091;0.000061230;0.000146083;-0.000025094
0.000063218;-0.000027949;0.000065186;0.000156358;-0.000027954
0.000063968;-0.000028785;0.000064689;0.000157443;-0.000028786
0.000062477;-0.000028128;0.000067429;0.000158067;-0.000028161
0.000064241;-0.000028099;0.000066429;0.000158775;-0.000028105
0.000063705;-0.000029672;0.000068354;0.000161759;-0.000029700
0.000066171;-0.000029276;0.000067749;0.000163199;-0.000029279
0.000062672;-0.000028261;0.000067555;0.000158520;-0.000028293
0.000064880;-0.000029462;0.000068217;0.000162573;-0.000029476
0.000064046;-0.000028856;0.000067351;0.000160267;-0.000028870
0.000063596;-0.000027856;0.000066898;0.000158365;-0.000027871
0.000067846;-0.000029358;0.000070197;0.000167408;-0.000029365
0.000075027;-0.000033880;0.000076500;0.000185409;-0.000033882
0.000079129;-0.000034614;0.000086218;0.000200015;-0.000034668
0.000083432;-0.000036561;0.000090291;0.000210332;-0.000036609
0.000085570;-0.000037271;0.000093578;0.000216482;-0.000037334
0.000087361;-0.000038341;0.000095549;0.000221316;-0.000038406
0.000088977;-0.000038633;0.000093923;0.000221557;-0.000038657
0.000086477;-0.000039613;0.000094965;0.000221124;-0.000039682
0.000085791;-0.000039055;0.000094647;0.000219569;-0.000039131
0.000087010;-0.000039060;0.000097577;0.000223753;-0.000039166
0.000086375;-0.000038484;0.000095391;0.000220329;-0.000038563
0.000085730;-0.000038423;0.000096998;0.000221273;-0.000038545
0.000089013;-0.000036645;0.000096287;0.000221996;-0.000036696
0.000086620;-0.000036835;0.000095425;0.000218956;-0.000036911
0.000090200;-0.000037113;0.000096453;0.000223803;-0.000037150
0.000091311;-0.000039084;0.000098002;0.000228439;-0.000039126
0.000091748;-0.000039805;0.000101611;0.000233253;-0.000039894
0.000095827;-0.000042641;0.000101612;0.000240110;-0.000042671
0.000103057;-0.000044552;0.000110434;0.000258088;-0.000044597
0.000106664;-0.000048169;0.000115946;0.000270847;-0.000048237
0.000110372;-0.000047776;0.000120232;0.000278455;-0.000047851
0.000109680;-0.000049856;0.000122283;0.000281939;-0.000049976
0.000111695;-0.000050800;0.000120865;0.000283423;-0.000050863
0.000108561;-0.000049601;0.000122926;0.000281244;-0.000049757
0.000109134;-0.000050514;0.000121609;0.000281374;-0.000050631
0.000107012;-0.000049434;0.000121840;0.000278454;-0.000049602
0.000109486;-0.000050226;0.000123761;0.000283626;-0.000050379
0.000110286;-0.000050411;0.000122562;0.000283372;-0.000050524
0.000108094;-0.000050763;0.000122476;0.000281489;-0.000050919
0.000110253;-0.000050849;0.000122130;0.000283338;-0.000050955
0.000111813;-0.000049370;0.000126022;0.000287355;-0.000049520
0.000112973;-0.000052422;0.000127855;0.000293410;-0.000052582
0.000115088;-0.000053852;0.000129548;0.000298636;-0.000054000
0.000119334;-0.000056658;0.000132565;0.000308677;-0.000056778
0.000122820;-0.000058922;0.000138093;0.000319989;-0.000059076
0.000127224;-0.000059957;0.000143783;0.000331139;-0.000060132
0.000129800;-0.000064939;0.000146228;0.000341133;-0.000065105
0.000131054;-0.000061952;0.000147602;0.000340778;-0.000062122
0.000131919;-0.000064962;0.000150236;0.000347320;-0.000065165
0.000133715;-0.000065059;0.000150679;0.000349626;-0.000065232
0.000130025;-0.000064913;0.000149748;0.000344923;-0.000065150
0.000131814;-0.000064550;0.000150742;0.000347323;-0.000064767
0.000131734;-0.000065262;0.000149921;0.000347118;-0.000065463
0.000130541;-0.000064927;0.000148581;0.000344248;-0.000065126
0.000130738;-0.000066114;0.000149080;0.000346136;-0.000066318
0.000130804;-0.000066048;0.000149473;0.000346536;-0.000066259
0.000132018;-0.000066666;0.000149697;0.000348569;-0.000066854
0.000131192;-0.000066806;0.000149681;0.000347885;-0.000067012
0.000130953;-0.000065787;0.000153360;0.000350402;-0.000066089
0.000135152;-0.000068720;0.000155607;0.000359723;-0.000068964
0.000137816;-0.000069881;0.000156689;0.000364591;-0.000070086
0.000141013;-0.000072535;0.000163334;0.000377159;-0.000072812
0.000143284;-0.000074080;0.000165015;0.000382637;-0.000074338
0.000144749;-0.000076651;0.000169010;0.000390725;-0.000076966
0.000147867;-0.000079103;0.000170460;0.000397698;-0.000079371
0.000149541;-0.000081073;0.000172543;0.000403430;-0.000081346
0.000149749;-0.000081556;0.000172211;0.000403776;-0.000081816
0.000148806;-0.000081979;0.000171678;0.000402733;-0.000082249
0.000147155;-0.000082872;0.000171346;0.000401675;-0.000083174
0.000149494;-0.000081789;0.000172341;0.000403893;-0.000082058
0.000149369;-0.000081041;0.000172069;0.000402745;-0.000081307
0.000148482;-0.000081184;0.000173706;0.000403700;-0.000081512
0.000148752;-0.000082488;0.000171603;0.000403112;-0.000082757
0.000146938;-0.000081575;0.000173015;0.000401880;-0.000081927
0.000145062;-0.000080219;0.000172489;0.000398163;-0.000080612
0.000148138;-0.000081158;0.000171700;0.000401284;-0.000081446
0.000147376;-0.000081207;0.000171009;0.000399882;-0.000081497
0.000147095;-0.000082254;0.000172250;0.000401926;-0.000082581
0.000145280;-0.000081153;0.000170901;0.000397677;-0.000081496
0.000147920;-0.000083041;0.000175306;0.000406650;-0.000083424
0.000147716;-0.000081949;0.000172363;0.000402342;-0.000082263
0.000147098;-0.000082226;0.000172365;0.000402019;-0.000082556
0.000147043;-0.000082740;0.000171287;0.000401374;-0.000083044
0.000146936;-0.000083898;0.000171577;0.000402723;-0.000084210
0.000146458;-0.000083563;0.000171735;0.000402085;-0.000083892
0.000145852;-0.000081907;0.000172075;0.000400191;-0.000082264
0.000145052;-0.000083664;0.000171730;0.000400813;-0.000084031
0.000148075;-0.000083520;0.000171144;0.000403012;-0.000083793
0.000149879;-0.000083892;0.000172871;0.000406911;-0.000084161
0.000148712;-0.000082795;0.000172009;0.000403795;-0.000083074
0.000147220;-0.000082798;0.000170885;0.000401192;-0.000083087
0.000146595;-0.000083125;0.000171852;0.000401901;-0.000083454
0.000147679;-0.000084738;0.000171844;0.000404559;-0.000085036
0.000147247;-0.000081707;0.000172200;0.000401476;-0.000082029
0.000146416;-0.000084035;0.000171361;0.000402132;-0.000084355
0.000149788;-0.000083098;0.000171735;0.000404868;-0.000083345
0.000147306;-0.000081947;0.000171457;0.000401012;-0.000082249
0.000146690;-0.000081098;0.000170262;0.000398340;-0.000081388
0.000148376;-0.000081700;0.000171897;0.000402259;-0.000081986
0.000146899;-0.000080423;0.000171181;0.000398811;-0.000080731
0.000147244;-0.000081561;0.000172825;0.000401968;-0.000081899
0.000147427;-0.000083431;0.000171102;0.000402249;-0.000083720
0.000145434;-0.000083155;0.000173697;0.000402697;-0.000083566
0.000146454;-0.000082992;0.000171452;0.000401221;-0.000083315
0.000146605;-0.000083094;0.000169347;0.000399314;-0.000083362
0.000146514;-0.000083523;0.000172169;0.000402545;-0.000083862
0.000145591;-0.000083309;0.000171453;0.000400698;-0.000083654
0.000146688;-0.000079756;0.000172720;0.000399517;-0.000080109
0.000146738;-0.000083785;0.000171772;0.000402617;-0.000084107
0.000145415;-0.000084897;0.000172479;0.000403166;-0.000085272
0.000145076;-0.000083261;0.000170606;0.000399281;-0.000083599
0.000145540;-0.000082163;0.000172421;0.000400498;-0.000082537
0.000145612;-0.000083255;0.000170592;0.000399782;-0.000083578
0.000146006;-0.000082791;0.000172778;0.000401945;-0.000083161
0.000146177;-0.000081869;0.000169523;0.000397853;-0.000082153
0.000147894;-0.000083682;0.000171918;0.000403790;-0.000083978
0.000148065;-0.000084948;0.000171952;0.000405256;-0.000085239
0.000147245;-0.000082980;0.000171655;0.000402187;-0.000083287
0.000146999;-0.000083506;0.000171708;0.000402527;-0.000083820
0.000147501;-0.000082900;0.000171406;0.000402102;-0.000083195
0.000146729;-0.000083735;0.000170921;0.000401686;-0.000084036
0.000147287;-0.000083420;0.000170517;0.000401502;-0.000083698
0.000148814;-0.000082896;0.000173515;0.000405537;-0.000083208
0.000148094;-0.000081495;0.000171244;0.000401111;-0.000081773
0.000148183;-0.000082805;0.000170167;0.000401405;-0.000083055
0.000147413;-0.000082640;0.000170842;0.000401179;-0.000082924
0.000146433;-0.000082324;0.000172928;0.000402047;-0.000082686
0.000146645;-0.000082362;0.000173431;0.000402808;-0.000082732
0.000146513;-0.000082245;0.000172758;0.000401872;-0.000082601
0.000146076;-0.000080658;0.000171654;0.000398729;-0.000080999
0.000147950;-0.000081602;0.000172772;0.000402642;-0.000081920
0.000146360;-0.000081947;0.000172442;0.000401101;-0.000082299
0.000144712;-0.000082814;0.000171803;0.000399709;-0.000083194
0.000146598;-0.000083799;0.000171153;0.000401860;-0.000084109
0.000147002;-0.000083256;0.000171994;0.000402573;-0.000083577
0.000147262;-0.000082545;0.000171920;0.000402041;-0.000082859
0.000146589;-0.000084202;0.000171075;0.000402174;-0.000084510
0.000146824;-0.000084245;0.000170194;0.000401544;-0.000084526
0.000145870;-0.000082111;0.000170881;0.000399187;-0.000082436
0.000147138;-0.000082132;0.000171032;0.000400598;-0.000082428
0.000146956;-0.000083623;0.000171053;0.000401931;-0.000083922
0.000148187;-0.000083363;0.000170279;0.000402080;-0.000083614
0.000145345;-0.000083661;0.000169730;0.000399044;-0.000083969
0.000149638;-0.000080808;0.000170890;0.000401570;-0.000081042
0.000146670;-0.000082335;0.000173062;0.000402426;-0.000082694
0.000147588;-0.000082546;0.000172510;0.000402964;-0.000082866
0.000148165;-0.000080286;0.000173136;0.000401910;-0.000080609
0.000145587;-0.000083196;0.000173019;0.000402190;-0.000083584
0.000146017;-0.000079921;0.000171900;0.000398188;-0.000080271
0.000147087;-0.000082893;0.000171832;0.000402128;-0.000083209
0.000148013;-0.000082052;0.000172646;0.000403024;-0.000082365
0.000149191;-0.000081720;0.000172096;0.000403277;-0.000081990
0.000147321;-0.000081879;0.000172002;0.000401517;-0.000082194
0.000146682;-0.000082454;0.000173005;0.000402498;-0.000082811
0.000148251;-0.000083225;0.000172664;0.000404446;-0.000083531
0.000147974;-0.000080610;0.000172870;0.000401775;-0.000080931
0.000146950;-0.000082077;0.000173586;0.000402979;-0.000082443
0.000146937;-0.000082596;0.000172499;0.000402369;-0.000082933
0.000150030;-0.000080703;0.000171794;0.000402772;-0.000080948
0.000145257;-0.000082840;0.000172518;0.000400999;-0.000083224
0.000147621;-0.000081240;0.000173681;0.000402893;-0.000081591
0.000147368;-0.000081437;0.000171427;0.000400532;-0.000081737
0.000146930;-0.000081576;0.000171320;0.000400135;-0.000081885
0.000148527;-0.000083273;0.000174039;0.000406171;-0.000083605
0.000147304;-0.000080619;0.000172078;0.000400320;-0.000080938
0.000148445;-0.000082770;0.000172484;0.000403996;-0.000083067
0.000148264;-0.000082119;0.000171981;0.000402654;-0.000082409
0.000147553;-0.000080717;0.000172354;0.000400943;-0.000081036
0.000145966;-0.000083124;0.000173029;0.000402496;-0.000083501
0.000147003;-0.000082494;0.000172484;0.000402316;-0.000082829
0.000148539;-0.000082406;0.000171888;0.000403114;-0.000082687
0.000147795;-0.000081941;0.000172787;0.000402845;-0.000082263
0.000148605;-0.000081762;0.000170840;0.000401463;-0.000082018
0.000149346;-0.000081425;0.000171352;0.000402373;-0.000081675
0.000147702;-0.000084689;0.000172179;0.000404876;-0.000084995
0.000148127;-0.000081309;0.000171396;0.000401113;-0.000081590
0.000149243;-0.000081613;0.000173531;0.000404690;-0.000081916
0.000146921;-0.000082021;0.000171710;0.000400970;-0.000082339
0.000147765;-0.000081835;0.000174643;0.000404614;-0.000082206
0.000147842;-0.000081554;0.000173152;0.000402879;-0.000081885
0.000148929;-0.000083190;0.000172377;0.000404778;-0.000083472
0.000147025;-0.000082560;0.000173423;0.000403367;-0.000082919
0.000145909;-0.000081454;0.000174188;0.000401965;-0.000081868
0.000147198;-0.000083378;0.000172606;0.000403513;-0.000083709
0.000148594;-0.000082326;0.000172910;0.000404134;-0.000082630
0.000147960;-0.000083034;0.000171664;0.000402947;-0.000083323
0.000146366;-0.000082039;0.000170112;0.000398810;-0.000082332
0.000146525;-0.000082213;0.000174762;0.000403910;-0.000082623
0.000144979;-0.000080456;0.000172052;0.000397870;-0.000080839
0.000148343;-0.000082515;0.000173279;0.000404456;-0.000082834
0.000148629;-0.000082643;0.000170052;0.000401561;-0.000082880
0.000147505;-0.000082255;0.000172222;0.000402297;-0.000082570
0.000147624;-0.000083139;0.000173738;0.000404850;-0.000083488
0.000145846;-0.000082139;0.000172394;0.000400744;-0.000082504
0.000147915;-0.000080998;0.000171830;0.000401040;-0.000081295
0.000147300;-0.000082455;0.000171783;0.000401847;-0.000082764
0.000148021;-0.000082115;0.000171039;0.000401449;-0.000082389
0.000143917;-0.000082640;0.000171089;0.000398030;-0.000083024
0.000146703;-0.000083714;0.000170873;0.000401591;-0.000084015
0.000146554;-0.000082938;0.000172724;0.000402569;-0.000083291
0.000146930;-0.000083708;0.000170925;0.000401859;-0.000084004
0.000146346;-0.000082695;0.000169909;0.000399238;-0.000082983
0.000147284;-0.000084771;0.000170823;0.000403162;-0.000085055
0.000145298;-0.000083606;0.000172295;0.000401575;-0.000083982
0.000146445;-0.000082867;0.000172045;0.000401695;-0.000083205
0.000146166;-0.000082036;0.000173574;0.000402164;-0.000082424
0.000146733;-0.000083068;0.000171768;0.000401892;-0.000083391
0.000145972;-0.000084333;0.000172074;0.000402729;-0.000084683
0.000145832;-0.000083034;0.000169226;0.000398376;-0.000083318
0.000145485;-0.000083442;0.000172320;0.000401618;-0.000083813
0.000144113;-0.000083305;0.000172455;0.000400288;-0.000083720
0.000147036;-0.000082819;0.000170829;0.000400977;-0.000083112
0.000146146;-0.000083429;0.000171763;0.000401676;-0.000083767
0.000146738;-0.000082464;0.000171615;0.000401137;-0.000082784
0.000145678;-0.000083923;0.000172180;0.000402142;-0.000084284
0.000144934;-0.000081757;0.000170692;0.000397729;-0.000082103
0.000146559;-0.000083886;0.000170570;0.000401312;-0.000084183
0.000146783;-0.000083634;0.000172668;0.000403429;-0.000083978
0.000146317;-0.000081874;0.000169753;0.000398230;-0.000082160
0.000148040;-0.000082262;0.000173874;0.000404519;-0.000082605
0.000146312;-0.000081674;0.000171578;0.000399895;-0.000082005
0.000146738;-0.000083828;0.000170258;0.000401109;-0.000084113
0.000146138;-0.000082172;0.000171996;0.000400652;-0.000082518
0.000145449;-0.000082319;0.000171154;0.000399265;-0.000082662
0.000146627;-0.000082849;0.000170578;0.000400351;-0.000083146
0.000146952;-0.000083116;0.000169875;0.000400215;-0.000083388
