0 402.76 399.08
1 387.20 399.08
2 400.67 399.61
3 400.16 399.53
4 398.36 399.74
5 401.75 399.91
6 401.48 399.77
7 399.59 399.74
8 398.15 399.67
9 399.92 399.81
10 401.74 399.86
11 398.63 399.76
12 395.71 399.89
13 404.19 400.02
14 398.90 399.81
15 398.23 399.92
16 400.27 399.83
17 393.37 399.86
18 398.10 400.16
19 401.70 400.33
20 397.41 400.49
21 398.93 400.67
22 402.36 400.57
23 399.59 400.36
24 397.97 400.44
25 402.64 400.56
26 400.43 400.45
27 398.68 400.40
28 405.47 400.45
29 402.52 400.30
30 398.18 400.21
31 400.93 400.16
32 397.78 400.17
33 401.68 400.23
34 401.11 400.21
35 399.28 400.19
36 401.83 400.26
37 399.04 400.30
38 398.82 400.34
39 401.74 400.44
40 396.01 400.17
41 400.99 400.26
42 400.74 400.31
43 402.38 400.25
44 405.81 400.09
45 401.79 399.90
46 396.36 399.96
47 397.25 400.17
48 401.48 400.27
49 401.06 400.11
50 399.92 399.85
51 399.02 399.83
52 400.09 399.86
53 401.62 399.97
54 400.39 399.86
55 396.95 399.86
56 400.99 400.12
57 399.48 400.16
58 401.20 400.30
59 400.59 400.32
60 400.95 400.13
61 402.70 400.13
62 400.20 399.96
63 401.20 400.00
64 395.02 399.86
65 398.45 400.24
66 402.05 400.24
67 399.40 400.20
68 398.20 400.22
69 401.27 400.40
70 403.10 400.31
71 401.78 400.09
72 399.60 400.24
73 397.41 400.40
74 394.71 400.47
75 399.52 400.63
76 399.53 400.66
77 402.96 400.58
78 398.95 400.47
79 400.30 400.52
80 403.35 400.40
81 402.13 400.18
82 402.91 399.86
83 401.78 399.69
84 395.82 399.60
85 400.94 399.78
86 398.51 399.83
87 401.05 399.80
88 397.67 399.77
89 404.66 399.83
90 398.34 399.50
91 401.12 399.47
92 399.82 399.44
93 402.76 399.26
94 399.04 399.05
95 397.62 399.06
96 405.38 399.15
97 403.68 398.90
98 399.06 398.80
99 398.74 398.80
100 400.32 398.82
101 397.64 398.89
102 400.17 398.74
103 400.07 398.82
104 397.50 398.75
105 397.78 398.77
106 394.14 398.93
107 398.56 399.08
108 399.50 399.09
109 400.53 399.17
110 402.10 399.24
111 397.62 399.29
112 400.53 399.33
113 398.97 399.33
114 396.38 399.54
115 397.75 399.82
116 400.39 399.95
117 395.25 399.87
118 397.51 400.14
119 399.31 400.15
120 399.77 400.34
121 399.33 400.24
122 401.06 400.39
123 399.09 400.38
124 399.17 400.36
125 402.25 400.26
126 393.70 400.29
127 402.34 400.62
128 398.16 400.51
129 398.08 400.52
130 401.88 400.66
131 397.74 400.66
132 398.88 400.75
133 401.36 400.86
134 402.47 400.85
135 403.18 400.80
136 398.59 400.58
137 400.69 400.50
138 404.08 400.43
139 403.53 400.19
140 401.00 400.11
141 398.44 400.21
142 401.97 400.31
143 397.62 400.24
144 404.08 400.41
145 397.27 400.42
146 403.13 400.57
147 400.89 400.34
148 398.38 400.32
149 396.74 400.38
150 403.02 400.35
151 401.92 400.09
152 399.75 400.12
153 398.21 400.16
154 401.71 400.01
155 401.83 399.91
156 400.01 399.84
157 401.63 399.94
158 401.01 399.89
159 401.33 399.84
160 397.77 399.89
161 396.60 400.10
162 398.93 400.33
163 398.07 400.18
164 401.57 400.38
165 403.46 400.40
166 400.93 400.16
167 400.11 399.94
168 401.99 400.07
169 404.27 400.06
170 401.04 400.14
171 397.24 400.17
172 400.59 400.31
173 399.69 400.20
174 396.18 400.14
175 396.52 400.27
176 402.53 400.29
177 400.88 400.26
178 394.48 400.28
179 399.11 400.43
180 400.16 400.28
181 402.40 400.41
182 400.34 400.29
183 399.82 400.39
184 402.51 400.23
185 403.17 399.98
186 402.18 399.86
187 395.40 399.58
188 402.84 399.85
189 402.25 399.79
190 397.26 399.72
191 395.66 399.70
192 403.24 399.99
193 401.85 399.87
194 406.20 399.89
